"commit id","commit date","commit message"
"dd120b2ba7daccf25b3312550b6f006a3a96659c","2015-05-24 14:13:54+02:00","Initial commit
"
"5037c36e1e2d162bf216a27a12ec542f408fb46e","2015-05-24 14:29:36+02:00","Delete .gitignore
"
"f5d0bc40e9ed550c5390b18a3fbbeff999a93400","2015-05-24 14:42:30+02:00","Initial commit of the project
"
"72d2278d954877466e8ee0973daef87cb720a1c9","2015-05-24 14:44:32+02:00","Merge branch 'master' of https://github.com/WikiJourney/wikijourney_app
"
"9a83599f15d7b3c08910e6d32052e3e568286f65","2015-05-24 17:10:10+02:00","Changed logo to the WikiJourney one
"
"1a031f8404c287adceaccb38fd4fb00f6f3003cb","2015-05-24 17:22:13+02:00","Imported osmBonusPack  and its dependencies
"
"bf2f93f36e42985d8d4f9a4092bf0cd7292fb492","2015-05-24 18:00:24+02:00","Added a You are here marker
"
"a2b74613507c3df79cd3622b2de612169235072e","2015-05-24 19:33:36+02:00","Added routing from a fixed point to GPS coordinates
"
"eac21df538a14dea5f2d8e1303466b8e1f71749d","2015-05-24 20:10:30+02:00","Added waypoints and directions
"
"a173eaaeaf4c85de323eb3d0a6e57f2bd6e80ff2","2015-05-25 22:54:47+02:00","First try at general refactoring and reorganizing the code
"
"da70c108603daea85f1b1fac2776959596b1de7a","2015-05-30 00:38:11+02:00","Still trying to refactor before location update
"
"ea031a6472a325777217c87e7d0eccfe8884e4c6","2015-05-30 00:47:52+02:00","First try at using location for start point
"
"dc3a5f3b467f49d816bb7ddccc59ce1e7d4a3afd","2015-05-31 15:22:12+02:00","Removed duplicate permission ACCESS_FINE_LOCATION
"
"65716a135f16892217b81e5dc5e73e25cf16de88","2015-06-01 11:25:03+02:00","buildRoute and drawPolyLine added in routing.java
"
"dd3e49786dc784b9bb7f9d004f2a166968d85567","2015-06-01 11:34:04+02:00","Changde ImageView in HomeActivity and add GPS location as startPoint
"
"7d12a9b9a2bb2537406c44e0b7b1c79d4c163a52","2015-06-01 11:34:11+02:00","Merge branch 'master' of https://github.com/WikiJourney/wikijourney_app
"
"ce0f8f7cd2903db0ccab51c6cc428b7ea57ae5b0","2015-06-01 11:46:29+02:00","Added icon to HomeActivity and changed startPoint to GPS location
"
"12a8e72c3444a9bb1e43756d84febb6d76b95bfb","2015-06-03 16:08:38+02:00","Project Presentation in README
"
"b7b8eb8746a0a762d8875f0b3216774a5841bfbd","2015-06-04 13:37:36+02:00","Removed space
"
"5b8c63cc316f346c416ea640d9d414babc0f95f4","2015-06-05 10:33:32+02:00","drawWaypoints function refactored
"
"7c0821fb2667cbd485b6a72a9bbd30b4d2afa46b","2015-06-08 10:53:50+02:00","Fixed bug: if you tapped on GO without filling the infos, it crashed the app
"
"bf44c47803d32f9859ac00bfd3d1ad53b7cd724e","2015-06-08 10:53:50+02:00","Fixed bug: if the user tapped the GO button without filling the infos, the app crashed
"
"bc6cfe1401c27d12d1bae53885d27907ee6c9cad","2015-06-08 11:02:23+02:00","Merge branch 'master' of https://github.com/WikiJourney/wikijourney_app
"
"436c2eb7e471d703a2949044fc203c78ad0f685a","2015-06-12 14:39:11+02:00","Create LICENSE
"
"74c2d5ad60821c851d47bcd83aa834442c2c43b9","2015-06-15 17:27:36+02:00","Added HttpData Class, updated most libs to Gradle, GET request on url (to modify later)

Signed-off-by: Ahmed Naoufel Hatim <ahmed.naoufel.hatim@gmail.com>
"
"1919320a0ddb040b1245721c156050b8f661d5f2","2015-06-17 21:58:51+02:00","Merge pull request #1 from WikiJourney/dev_achway

Added HttpData Class, updated most libs to Gradle, GET request on url…
"
"43e0196a2944cad7804a972b4009ee9b211ad1c3","2015-06-18 12:25:31+02:00","The Location update is now done once, when the user clicks on Go button

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"92294c47aa1c4313f4c097040a629d8714b36312","2015-06-18 12:31:54+02:00","Deleted httpmime lib file, since it is added as a gradle dependency

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"32961391d483d51a83120bd645819576d5e9a4af","2015-06-18 12:35:59+02:00","Merge pull request #5 from WikiJourney/dev_location

Changed the way the location is updated
"
"31e8381573dbc5aed7e91b5164504677c8ac8d5f","2015-06-18 12:36:59+02:00","Merge pull request #6 from WikiJourney/dev

Changed the way the location is updated
"
"b736005895ce7e47b189f7456762a69abef1ca4c","2015-07-05 20:51:26+02:00","Fixed Routing.java class name (maybe)
"
"a5aa1b8ba3edd2efa63e6fa88262d8e1c825d672","2015-07-06 11:31:51+02:00","Merge pull request #9 from WikiJourney/master

Updating dev branch to latest master
"
"c91cbdc3e3c14e04c75428719aada78973d3d295","2015-07-20 20:17:48+02:00","Started to convert Activities to Fragments, the logic is still in the Activities; added temporary alternative layout for large screens

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"e5ac5861fb4bc3acb9477b3e644b348c55d6d47b","2015-07-20 20:44:21+02:00","Now dynamically adding Fragment at runtime for small screens

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"57ebb987c9c6b3a3a1de4fe7e0b31bae42b5c7e0","2015-07-21 10:21:09+02:00","Implemented onClickListener on the HomeFragment buttons, so the logic is entirely in the Fragments.
Still not working though...

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"fa47ea58c0a12b8bd1e15988bf9eb3dbfc6f8d34","2015-07-21 10:23:40+02:00","Allow use of back button to return to previous Fragment.

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"14d183fd1fa18eaa2311e37f56ef55e288501d9a","2015-07-21 14:31:15+02:00","Moved all logic inside Map Fragment; still needs to pass information.

Now, the Map Fragment is doing something, but the values are hardcoded; I still need to find a way to pass the information between Fragments.

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"593363a006b58a7ae7f6ad688dbffdd8cfa7605e","2015-07-21 19:04:51+02:00","Now passing information between Fragments with a Bundle.
I also fixed the Back button problem.

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"b2900e97fa16ee2569f86373eceb04083fda355c","2015-07-21 19:48:48+02:00","Deleted MapActivity (and all related files)
I also cleaned up the imports.

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"124f4d962ca781fc291ae08c21665b250ca881b4","2015-07-21 20:00:41+02:00","Merge pull request #10 from WikiJourney/dev_fragments

New organization : the app now uses Fragments instead of Activities
"
"6bd5aab34e1479ba0ebcfaca394d5abb20c9be75","2015-07-22 13:59:31+02:00","First implementation of a Navigation Drawer; still buggy.

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"da87015a89ac0d4a777e412fd94b6b265bf3e21c","2015-07-22 23:57:50+02:00","New implementation of the Drawer!

This is much cleaner, using NavigationView.
It responds to click on hamburger menu, is animated, has icons and subgroups.

Now, I need to get back the Fragment change like with the old Drawer (using onClickListener), and correct bugs...

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"1ec0e0d74d714168728fd2d26d4e28431fdd1377","2015-07-23 13:16:37+02:00","Drawer now changing Fragments

Now we have a clean Drawer, which reacts to touch events.
It also fixes #12.

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"61983189ceaf443a77408776bb203ca041e743a0","2015-07-24 19:59:17+02:00","Various bugfixes, cleanup, and style changes

Color palette updated to match WikiJourney colors.
Cleanup of some unused (obsolete) code, added comments somewhere else.
Added alert dialogs to activate GPS, this fixes Map Fragment not doing anything. The user still has to manually enable it.

Signed-off-by: Thomas Gaudin <thomas.gaudin@centraliens-lille.org>
"
"7f256c37b274b46bbbe46a70eb6f007054b683b1","2015-07-24 20:15:29+02:00","Merge pull request #13 from WikiJourney/dev_drawer

Implemented Navigation Drawer
"
"79531b3af1c41f12f8c8a102a65fc843f89525b8","2015-07-24 20:25:31+02:00","Merge pull request #14 from WikiJourney/dev

Replaced Activities with Fragments, added Navigation Drawer
"
