"commit id","commit date","commit message"
"c86ac329fe2dcc709f9fb07d1738e9040f1767b0","2015-07-15 19:08:54+05:00","Merge tag '1.0.29' into develop

1.0.29
"
"a4cd95dfc981f5f65b6ae7942ef3aa2ee79b3adc","2015-07-16 14:04:12+05:00","'You have joined chat as <nickname>' message was fixed for conferences.
"
"89839a673291d408b99c43eb947e4f903b62d3bb","2015-07-16 15:49:47+05:00","Left padding added for input view in conference chat.
"
"f27c4bb00b94c5947b3f6658103116a4dc4d14ea","2015-07-16 19:45:55+05:00","mipmap used for launcher icons. Custom launcher icon for Xabber Beta.
"
"fc9defe797341d6eed6f582833963fdfcd667060","2015-07-16 19:55:05+05:00","Custom ic_connect and ic_disconnect icons for Xabber Beta.
"
"f356a3d0840d5eeeadfba0a4357aaccc45eadbd6","2015-07-16 20:05:53+05:00","ic_connect and ic_disconnect drawables renamed to xabber_logo_80dp and xabber_logo_grey_80dp
"
"ffab24fd26226202a39a07cadafc6ce8329a1066","2015-07-16 20:07:46+05:00","LICENSE file updated.
"
"e8d884be122c59297ac23090ef9defadf7ad20f9","2015-07-17 11:09:14+05:00","Launcher icons of larger size.
"
"4c318b9c91bdb4ee22c7952f62e91fdfb14cd247","2015-07-17 11:29:06+05:00","Client name changed for Xabber VIP
"
"693a275ec8b58300d337fbe5eaa33966a72fe825","2015-07-17 12:20:39+05:00","ReconnectionActivity: intent changed. 'Not working' ongoing notification during connection fixed.
"
"0d0576efda10a88fd99d6b0982839d1e12b02fb7","2015-07-17 12:57:42+05:00","French translation updated.
"
"2a8929c5144df1f70ef2ac9a8d926aa7888a80a3","2015-07-17 14:59:20+05:00","Version 1.0.30 (code 202)
"
"148138172bc76b7720c8ad16dfbd8765c703d615","2015-07-17 14:59:33+05:00","Merge branch 'release/1.0.30'
"
