"commit id","commit date","commit message"
"ce15c036bd0f0f0eb87a8fd1f3400e932f7292af","2012-10-15 09:35:05+02:00","change scroll mode, mark-as-read timing. fix #53
"
"5287eae0f0b9c84f87f499edd8f4766514ac3484","2012-10-15 09:48:08+02:00","fix for android SDK r20
"
"5d6c77ee1b3f3dfe949022d1089402ae1ef52ad4","2012-10-15 09:48:21+02:00","work around DNS caching on WiFi/3G change
"
"59889051670b38264e6ba54b9e8a3f493408fc89","2012-03-22 21:34:00+01:00","log network info for better debugging
"
"c207ecbd7a899e6945a58d24c4584430d55cbc57","2012-10-15 13:36:13+02:00","translation import
"
"ba77195980312c280654549086f56bff6f28d89b","2012-10-23 11:28:21+02:00","fix NPE on timer when disconnected
"
"04ee63b2d4f93e49a389ecf8d6b1587e018a1ba5","2012-10-15 19:20:52+02:00","can not fail and succeed at the same time
"
"fdeae79e22620bf8cca86cd37a54aef9ce755018","2012-10-23 15:46:54+02:00","chat window: sort messages by id (aka receive time)

This fixes the problem that delayed messages may be put into the
chat log above the visible window, appearing as a non-message.
"
"fbe968f8ba9b833f6d06a7fc4a6a85564882bc4c","2012-11-03 12:24:06+01:00","translation import
"
"2002031015dd19204286fdf9b3e9e9c75e73e804","2012-10-15 10:08:57+02:00","version 0.8.5
"
