"commit id","commit date","commit message"
"5f4212ac77df8df420e1c1398dc0f4510749c121","2015-02-06 10:03:14+01:00","[maven-release-plugin] prepare for next development iteration
"
"aaf5ddd835056fd2cd119b1cad3acc0a22d6747d","2015-02-06 16:16:44+01:00","Fix typo in date.
"
"30e11847a2d6c7c8e9b9f9b696e7fbf5063d0256","2015-04-24 13:10:59+02:00","Linked to Google Play from README
"
"df325ecb39aadc36ec6d334d90b7e21583b6b14a","2015-04-28 12:45:13+02:00","Added link to F-Droid in README.
"
"9a8de208cdfc95a54217e58751874da2d1c6bac6","2015-05-05 12:32:50+01:00","Support for adding account manually

This patch is adding the possibility to add account manually without the
need to scan the QR code. It requires to fill in the name of the account
the secret key and choose one of the authentication type (TOTP, HOTP).
"
"5f0354f915f1d14210e6cc6a94365747296fbc09","2015-05-05 13:07:19+01:00","Updated icons for multiple screen resolutions

This patch is adding icons for multiple screen resolution which assures
that the icons will have no blurred edges. The icons were taken from
Android platform v22 (platforms/android-22/data/res/).
"
"9699c3eaef89af68521c04398820b819d311381c","2015-05-05 14:27:48+02:00","Merge pull request #15 from jtyr/icons

Updated icons for multiple screen resolutions
"
"27b24bebb0a97cb25258a63f192c6d62ab4a45e9","2015-05-05 12:58:07+01:00","Support for Issuer in the list of codes

This patch is adding the support for Issuer in the list of codes. It's
automatically extracted from the account name if it's in the
issuer:label format.
"
"81a91d96023fe89bb38d6049effade8e1ac7839a","2015-05-05 15:41:46+02:00","Merge pull request #16 from jtyr/issuer

Support for Issuer in the list of codes
"
"bd0867d2149a6803825946aa8b6fd224154cd820","2015-05-05 15:56:31+02:00","Explicitly hide issuer label.

Android will re-use these views, causing old values to appear when they
shouldn't.
"
"1b6379f2af8eba111ba4395219f0303069d52ba2","2015-05-05 15:59:09+02:00","Merge pull request #14 from jtyr/manual_account2

Support for adding account manually
"
"52c99927943075730f85cf474905daa9d047052f","2015-05-06 11:14:48+02:00","Bumped version and target.
"
"bd8ed206206fdd5d0e542d5d826c1544f9c912cb","2015-05-06 11:13:54+02:00","Updated NEWS.
"
"ed05a9a790f145d51c877fdf5c451ab9bec43781","2015-05-06 11:15:03+02:00","Implement back-button behavior (fixes #18).
"
"79ee47f32a9fe11f014f91a29b8869be3866d9ce","2015-05-06 11:18:47+02:00","Updated NEWS.
"
"00956d64ae6f5844798dc8b56faccee0b1d08736","2015-05-06 11:29:55+02:00","Auto-start app on NFC tag.
"
"f740cff0dc13f220da61a1649a29403ef98b6f69","2015-05-06 12:22:59+02:00","Start on YubiKey tap (fixes #5).
"
"5d1770b38bbb6c33f13a9979829a167c54e62d25","2015-05-06 13:06:34+02:00","Strip whitespace around URLs (fixes #17).
"
"687a9f16ef10cb012c26abe36e531bb26c9bbf44","2015-05-06 13:28:41+02:00","Reformat code.
"
"3a7e06c726ce7de62aabf772d85e89e104ce2a2d","2015-05-06 13:36:48+02:00","Prevent multiple instances of app from launching.
"
"dae1c8b3a1649fc8b19970ecc6f774333f0f8a92","2015-05-06 14:26:28+02:00","Avoid calling onNewIntent more than once per tap.
"
"eb81b71a720621d922c1d97c5e21c6e38336bd2c","2015-05-07 12:44:51+02:00","Bump version to 1.0.0 for release.
"
"89ec6abec366f743ce17b19e069075f1c4429afa","2015-05-07 12:52:35+02:00","[maven-release-plugin] prepare release yubioath-1.0.0
"
